Species	Common name	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession / source	Intact	Partially intact	Uncertain loss	Lost	Missing	ref_human	ref_mouse
Hylobates moloch	silvery gibbon	81572	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Hylobates	HLhylMol2	GCF_009828535.2	 17,149 	 645 	 344 	 238 	 54 	 19,046 	 18,929 
Hystrix cristata	crested porcupine	10137	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Hystricidae; Hystrix	HLhysCri1	GCA_004026905.1	 15,277 	 1,675 	 539 	 527 	 412 	 17,988 	 18,390 
Ictidomys tridecemlineatus	thirteen-lined ground squirrel	43179	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Ictidomys	speTri2	GCF_000236235.1	 15,459 	 1,723 	 447 	 342 	 459 	 18,203 	 18,937 
Indri indri	-	34827	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Indriidae; Indri	HLindInd1	GCA_004363605.1	 13,420 	 3,309 	 651 	 464 	 586 	 18,006 	 18,087 
Inia geoffrensis	boutu	9725	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Iniidae; Inia	HLlniGeo1	GCA_004363515.1	 14,137 	 2,000 	 734 	 963 	 596 	 17,337 	 16,693 
Jaculus jaculus	lesser Egyptian jerboa	51337	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Dipodoidea; Dipodidae; Dipodinae; Jaculus	jacJac1	GCF_000280705.1	 13,987 	 2,318 	 653 	 721 	 751 	 17,396 	 18,427 
Kobus ellipsiprymnus	waterbuck	9962	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Reduncinae; Kobus	HLkobEll1	GCA_006410655.1	 15,522 	 1,612 	 708 	 313 	 275 	 18,443 	 18,318 
Kobus leche leche	lechwe	91880	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Reduncinae; Kobus; Kobus leche	HLkobLecLec1	GCA_014926565.1	 14,044 	 2,642 	 494 	 421 	 829 	 17,742 	 17,927 
Kogia breviceps	pygmy sperm whale	27615	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Physeteridae; Kogia	HLkogBre1	GCA_004363705.1	 12,698 	 3,178 	 775 	 1,038 	 741 	 17,217 	 16,477 
Lagenorhynchus obliquidens	Pacific white-sided dolphin	90247	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Lagenorhynchus	HLlagObl2	DNA Zoo Consortium	 16,350 	 184 	 703 	 1,056 	 137 	 17,733 	 17,502 
Lagenorhynchus obliquidens	Pacific white-sided dolphin	90247	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Lagenorhynchus	HLlagObl1	GCF_003676395.1	 16,360 	 191 	 693 	 1,091 	 95 	 17,741 	 17,499 
Lama glama	llama	9844	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Lama	HLlamGla1	DNA Zoo Consortium	 15,611 	 1,473 	 479 	 521 	 346 	 18,117 	 18,052 
Lama glama chaku	llama	273914	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Lama; Lama glama	HLlamGlaCha1	GCA_013239585.1	 16,582 	 664 	 570 	 329 	 285 	 18,393 	 18,625 
Lama guanicoe cacsilensis	guanaco	273908	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Lama; Lama guanicoe	HLlamGuaCac1	GCA_013239625.1	 17,226 	 239 	 631 	 270 	 64 	 18,695 	 19,025 
Lasiurus borealis	red bat	258930	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Lasiurus	HLlasBor1	GCA_004026805.1	 10,964 	 3,989 	 928 	 983 	 1,566 	 16,297 	 15,420 
Lemur catta	Ring-tailed lemur	9447	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Lemur	HLlemCat1	GCA_004024665.1	 16,492 	 1,096 	 399 	 285 	 158 	 18,668 	 18,919 
Leptonychotes weddellii	Weddell seal	9713	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Leptonychotes	lepWed1	GCF_000349705.1	 11,514 	 4,840 	 685 	 461 	 930 	 17,577 	 17,368 
Leptonycteris yerbabuenae	Lesser long-nosed bat	700936	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Glossophaginae; Leptonycteris	HLlepYer1	GIGADB	 16,085 	 668 	 679 	 675 	 323 	 17,921 	 17,622 
Lepus americanus	snowshoe hare	48086	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Lepus	HLlepAme1	GCA_004026855.1	 11,520 	 4,184 	 560 	 686 	 1,480 	 16,761 	 15,217 
Lepus timidus	Mountain hare	62621	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Lepus	HLlepTim1	GCA_009760805.1	 11,927 	 3,660 	 1,264 	 736 	 843 	 17,378 	 17,172 
Lipotes vexillifer	Yangtze River dolphin	118797	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Lipotidae; Lipotes	lipVex1	GCF_000442215.1	 14,656 	 1,372 	 918 	 1,048 	 436 	 17,454 	 17,234 
Litocranius walleri	gerenuk	69311	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Litocranius	HLlitWal1	GCA_006410535.1	 16,023 	 980 	 887 	 364 	 176 	 18,485 	 18,606 
Lontra canadensis	Northern American river otter	76717	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Lontra	HLlonCan1	GCF_010015895.1	 17,297 	 190 	 576 	 324 	 43 	 18,664 	 18,853 
Loxodonta africana	African savanna elephant	9785	Mammalia; Theria; Eutheria; Afrotheria; Proboscidea; Elephantidae; Loxodonta	HLloxAfr4	ftp://ftp.broadinstitute.org/pub/assemblies/mammals/elephant/loxAfr4/	 14,065 	 1,678 	 1,877 	 372 	 438 	 18,120 	 18,458 
Lutra lutra	Eurasian river otter	9657	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Lutra	HLlutLut1	GCA_902655055.1	 17,172 	 53 	 787 	 378 	 40 	 18,612 	 18,858 
Lycaon pictus	African hunting dog	9622	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Lycaon	HLlycPic3	DNA Zoo Consortium	 15,078 	 1,380 	 562 	 590 	 820 	 17,544 	 17,452 
Lycaon pictus	African hunting dog	9622	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Lycaon	HLlycPic2	GCA_004216515.1	 14,247 	 897 	 786 	 522 	 1,978 	 16,435 	 16,477 
Lynx canadensis	Canada lynx	61383	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Lynx	HLlynCan1	GCF_007474595.1	 16,401 	 145 	 1,139 	 611 	 134 	 18,302 	 18,624 
Lynx pardinus	Spanish lynx	191816	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Lynx	HLlynPar1	GCA_900661375.1	 14,412 	 1,989 	 620 	 408 	 1,001 	 17,574 	 17,720 
Macaca fascicularis	crab-eating macaque	9541	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca	HLmacFas6	GCA_012559485.1	 15,369 	 77 	 2,711 	 261 	 12 	 19,060 	 19,053 
Macaca fuscata	Japanese macaque	9542	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca	HLmacFus1	DNA Zoo Consortium	 17,342 	 513 	 338 	 165 	 72 	 19,073 	 18,900 
Macaca mulatta	Rhesus monkey	9544	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca	rheMac10	GCF_003339765.1	 18,074 	 35 	 225 	 90 	 6 	 19,283 	 19,357 
Macaca nemestrina	pig-tailed macaque	9545	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca	macNem1	GCF_000956065.1	 16,780 	 519 	 958 	 152 	 21 	 19,141 	 19,028 
Macroglossus sobrinus	-	326083	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Macroglossinae; Macroglossus	HLmacSob1	GCA_004027375.1	 16,280 	 807 	 448 	 667 	 228 	 18,019 	 17,952 
Macropus fuliginosus	western gray kangaroo	9316	Mammalia; Theria; Metatheria; Diprotodontia; Macropodidae; Macropus	HLmacFul1	DNA Zoo Consortium	 9,908 	 2,395 	 673 	 885 	 4,569 	 13,191 	 10,553 
Macropus giganteus	eastern gray kangaroo	9317	Mammalia; Theria; Metatheria; Diprotodontia; Macropodidae; Macropus	HLmacGig1	DNA Zoo Consortium	 11,028 	 1,877 	 634 	 934 	 3,957 	 13,762 	 11,150 
Macrotus californicus	California big-eared bat	9419	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Phyllostominae; Macrotus	HLmacCal1	GCA_007922815.1	 13,940 	 2,306 	 542 	 703 	 939 	 17,218 	 16,469 
Madoqua kirkii	Kirk's dik-dik	66434	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Madoqua	HLmadKir1	GCA_006408675.1	 6,876 	 1,857 	 7,502 	 1,509 	 686 	 16,725 	 15,558 
Mandrillus leucophaeus	drill	9568	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Mandrillus	manLeu1	GCF_000951045.1	 14,360 	 2,842 	 378 	 258 	 592 	 18,420 	 17,945 
Mandrillus sphinx	mandrill	9561	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Mandrillus	HLmanSph1	GCA_004802615.1	 15,557 	 1,544 	 680 	 241 	 408 	 18,652 	 18,226 
Mandrillus sphinx	mandrill	9561	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Mandrillus	HLmanSph2	DNA Zoo Consortium	 15,575 	 1,523 	 685 	 179 	 468 	 18,658 	 18,249 
Manis javanica	Malayan pangolin	9974	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis	HLmanJav2	GCA_014570535.1	 15,777 	 990 	 763 	 726 	 174 	 17,979 	 18,046 
Manis javanica	Malayan pangolin	9974	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis	HLmanJav1	GCF_001685135.1	 13,846 	 1,731 	 1,255 	 895 	 703 	 17,234 	 17,100 
Manis pentadactyla	Chinese pangolin	143292	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis	manPen1	GCA_000738955.1	 10,571 	 3,752 	 1,042 	 840 	 2,225 	 15,741 	 15,579 
Manis pentadactyla	Chinese pangolin	143292	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis	HLmanPen2	GCA_014570555.1	 16,798 	 131 	 625 	 687 	 189 	 18,006 	 18,255 
Manis tricuspis	Tree pangolin	358128	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis	HLmanTri1	GCA_004765945.1	 14,051 	 2,246 	 742 	 837 	 554 	 17,442 	 16,954 
Marmota flaviventris	yellow-bellied marmot	93162	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota	HLmarFla1	GCA_003676075.2	 17,322 	 286 	 430 	 315 	 77 	 18,645 	 19,443 
Marmota himalayana	Himalayan marmot	93163	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota	HLmarHim1	GCA_005280165.1	 16,075 	 680 	 844 	 334 	 497 	 18,188 	 19,087 
Marmota marmota marmota	Alpine marmot	9994	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota; Marmota marmota	HLmarMar1	GCF_001458135.1	 15,196 	 1,420 	 991 	 408 	 415 	 18,208 	 19,047 
Marmota monax	woodchuck	9995	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota	HLmarMon1	GCA_901343595.1	 16,318 	 802 	 881 	 300 	 129 	 18,624 	 19,511 
Marmota monax	woodchuck	9995	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota	HLmarMon2	GCA_014533835.1	 17,458 	 317 	 405 	 223 	 27 	 18,835 	 19,813 
Marmota vancouverensis	Vancouver marmot	93167	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota	HLmarVan1	GCA_005458795.1	 12,187 	 4,035 	 836 	 422 	 950 	 17,617 	 18,456 
Martes zibellina	sable	36722	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Martinae; Martes	HLmarZib1	GCA_012583365.1	 16,403 	 1,171 	 463 	 276 	 117 	 18,631 	 18,718 
Mastacomys fuscus	-	337222	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mastacomys	HLmasFus1	DNA Zoo Consortium	 10,699 	 718 	 4,809 	 1,597 	 607 	 16,662 	 19,483 
Mastomys coucha	southern multimammate mouse	35658	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mastomys	HLmasCou1	GCF_008632895.1	 16,244 	 671 	 438 	 598 	 479 	 17,828 	 20,869 
Megaderma lyra	Indian false vampire	9413	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Megadermatidae; Megaderma	HLmegLyr2	GCA_004026885.1	 16,189 	 884 	 422 	 621 	 314 	 18,003 	 17,658 
Megaptera novaeangliae	humpback whale	9773	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Megaptera	HLmegNov1	GCA_004329385.1	 13,898 	 2,298 	 639 	 743 	 852 	 17,354 	 17,109 
Mellivora capensis	ratel	9664	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mellivoriane; Mellivora	HLmelCap1	GCA_004024625.1	 15,872 	 1,235 	 427 	 399 	 497 	 18,082 	 18,025 
Meriones unguiculatus	Mongolian gerbil	10047	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Gerbillinae; Meriones	HLmerUng1	GCF_002204375.1	 15,631 	 1,026 	 573 	 688 	 512 	 17,674 	 20,389 
Mesocricetus auratus	golden hamster	10036	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Cricetinae; Mesocricetus	mesAur1	GCF_000349665.1	 13,142 	 3,001 	 615 	 674 	 998 	 17,204 	 19,762 
Mesocricetus auratus	golden hamster	10036	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Cricetinae; Mesocricetus	HLmesAur2	DNA Zoo Consortium	 13,085 	 2,951 	 619 	 518 	 1,257 	 17,086 	 19,598 
Mesoplodon bidens	Sowerby's beaked whale	48745	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Ziphiidae; Mesoplodon	HLmesBid1	GCA_004027085.1	 14,120 	 2,013 	 765 	 935 	 597 	 17,363 	 16,847 
Mesoplodon densirostris	Blainville's beaked whale	48708	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Ziphiidae; Mesoplodon	HLmesDen1	DNA Zoo Consortium	 13,245 	 2,803 	 798 	 991 	 593 	 17,317 	 16,903 
Mesoplodon europaeus	Gervais' beaked whale	27616	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Ziphiidae; Mesoplodon	HLmesEur1	DNA Zoo Consortium	 14,017 	 2,138 	 772 	 995 	 508 	 17,376 	 17,068 
Mesoplodon stejnegeri	Stejneger's beaked whale	52114	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Ziphiidae; Mesoplodon	HLmesSte1	DNA Zoo Consortium	 13,534 	 2,617 	 776 	 1,007 	 496 	 17,382 	 16,996 
Microcebus murinus	gray mouse lemur	30608	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Microcebus	micMur3	GCF_000165445.2	 16,789 	 305 	 1,076 	 240 	 20 	 18,857 	 19,280 
Microcebus sp. 3 GT-2019	-	2508170	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Microcebus; unclassified Microcebus	HLmicSpe31	GCA_008750915.1	 12,800 	 4,061 	 555 	 282 	 732 	 18,088 	 18,497 
Microcebus tavaratra	-	143351	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Microcebus	HLmicTav1	GCA_008750935.1	 12,000 	 4,713 	 547 	 292 	 878 	 17,919 	 18,157 
Microgale talazaci	Talazac's shrew tenrec	176115	Mammalia; Theria; Eutheria; Afrotheria; Tenrecidae; Oryzorictinae; Microgale	HLmicTal1	GCA_004026705.1	 11,890 	 3,264 	 627 	 721 	 1,928 	 16,095 	 13,080 
Micronycteris hirsuta	-	148065	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Phyllostominae; Micronycteris	HLmicHir1	GCA_004026765.1	 13,762 	 2,077 	 507 	 739 	 1,345 	 16,759 	 16,573 
Microtus agrestis	short-tailed field vole	29092	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Microtus	HLmicAgr2	GCA_902806775.1	 16,686 	 110 	 973 	 535 	 126 	 18,286 	 21,097 
Microtus arvalis	Common vole	47230	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Microtus	HLmicArv1	GCA_007455615.1	 14,839 	 1,708 	 481 	 613 	 789 	 17,495 	 20,478 
Microtus fortis	reed vole	100897	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Microtus	HLmicFor1	GCA_014885135.1	 16,311 	 534 	 640 	 549 	 396 	 17,980 	 20,718 
Microtus ochrogaster	prairie vole	79684	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Microtus	micOch1	GCF_000317375.1	 16,055 	 930 	 424 	 554 	 467 	 17,884 	 20,574 
Microtus oeconomus	root vole	64717	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Microtus	HLmicOec1	GCA_007455595.1	 16,021 	 978 	 417 	 568 	 446 	 17,901 	 20,787 
Miniopterus natalensis	-	291302	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Miniopterinae; Miniopterus	HLminNat1	GCF_001595765.1	 14,201 	 2,230 	 469 	 630 	 900 	 17,391 	 17,490 
Miniopterus schreibersii	Schreibers' long-fingered bat	9433	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Miniopterinae; Miniopterus	HLminSch1	GCA_004026525.1	 16,002 	 1,058 	 448 	 620 	 302 	 17,994 	 17,874 
Mirounga angustirostris	Northern elephant seal	9716	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Mirounga	HLmirAng2	DNA Zoo Consortium	 16,010 	 1,088 	 541 	 563 	 228 	 18,194 	 17,867 
Mirounga leonina	Southern elephant seal	9715	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Mirounga	HLmirLeo1	GCF_011800145.1	 16,916 	 318 	 524 	 542 	 130 	 18,333 	 18,394 
Mirza coquereli	Coquerel's mouse lemur	47180	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Mirza	HLmirCoq1	GCA_004024645.1	 15,064 	 2,282 	 409 	 309 	 366 	 18,397 	 18,542 
Mirza zaza	-	339999	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Mirza	HLmirZaz1	GCA_008750895.1	 14,123 	 3,139 	 481 	 244 	 443 	 18,417 	 18,763 
Molossus molossus	Pallas's mastiff bat	27622	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Molossidae; Molossus	HLmolMol2	Bat1K published	 17,230 	 53 	 489 	 596 	 62 	 18,293 	 18,374 
Monodelphis domestica	gray short-tailed opossum	13616	Mammalia; Theria; Metatheria; Didelphimorphia; Didelphidae; Didelphinae; Monodelphis	monDom5	GCF_000002295.2	 11,131 	 1,051 	 1,150 	 1,401 	 3,697 	 13,580 	 11,494 
Monodon monoceros	narwhal	40151	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Monodontidae; Monodon	HLmonMon1	GCF_005190385.1	 16,113 	 303 	 751 	 1,136 	 127 	 17,679 	 17,483 
Mormoops blainvillei	Antillean ghost-faced bat	118852	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Mormoopidae; Mormoops	HLmorBla1	GCA_004026545.1	 14,928 	 1,480 	 488 	 730 	 804 	 17,348 	 17,312 
Moschus berezovskii	Chinese forest musk deer	68408	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Moschidae; Moschus	HLmosBer1	GCA_006459085.1	 15,856 	 1,354 	 457 	 474 	 289 	 18,205 	 18,228 
Moschus chrysogaster	alpine musk deer	68412	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Moschidae; Moschus	HLmosChr1	GCA_006461725.1	 6,862 	 5,459 	 1,897 	 1,086 	 3,126 	 14,671 	 13,445 
Moschus moschiferus	Siberian musk deer	68415	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Moschidae; Moschus	HLmosMos1	GCA_004024705.2	 17,176 	 375 	 388 	 385 	 106 	 18,518 	 18,696 
Mungos mungo	banded mongoose	210652	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Herpestidae; Mungos	HLmunMug1	GCA_004023785.1	 16,297 	 970 	 411 	 426 	 326 	 18,197 	 18,160 
Muntiacus crinifrons	black muntjac	71854	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Muntiacinae; Muntiacus	HLmunCri1	GCA_006408485.1	 12,511 	 2,509 	 2,262 	 498 	 650 	 17,847 	 17,891 
Muntiacus muntjak	muntjak	9888	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Muntiacinae; Muntiacus	HLmunMun1	GCA_008782695.1	 16,840 	 586 	 454 	 399 	 151 	 18,468 	 18,672 
Muntiacus reevesi	Reeves' muntjac	9886	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Muntiacinae; Muntiacus	HLmunRee1	GCA_008787405.1	 16,920 	 553 	 426 	 377 	 154 	 18,488 	 18,717 
Murina aurata feae	Little tube-nosed bat	1453894	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Murina; Murina aurata	HLmurAurFea1	GCA_004026665.1	 13,406 	 2,862 	 529 	 684 	 949 	 17,241 	 16,457 
Mus caroli	Ryukyu mouse	10089	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus	HLmusCar1	GCF_900094665.1	 16,319 	 737 	 483 	 534 	 357 	 18,026 	 21,360 
Mus musculus	house mouse	10090	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus	mm39	GCF_000001635.27	 17,282 	 62 	 405 	 559 	 122 	 18,274 	 22258 
